date,5. volume,4. close,2. high,1. open,3. low
2019-07-19,18257424.0,37.05,39.56,34.0,32.05
2019-07-22,3594720.0,36.0,38.6,37.51,35.55
2019-07-23,1251132.0,36.73,37.3,36.73,35.8
2019-07-24,1285734.0,40.54,40.54,36.95,36.1
2019-07-25,4098847.0,41.5,44.72,41.25,41.0
2019-07-26,697251.0,43.0,44.499,41.95,41.55
2019-07-29,824139.0,42.28,43.8,43.34,41.0369
2019-07-30,809345.0,41.08,42.754,42.68,38.53
2019-07-31,920781.0,39.85,41.35,40.96,39.75
2019-08-01,618801.0,37.96,40.23,40.0,37.9
2019-08-02,564997.0,39.87,40.63,37.51,36.74
2019-08-05,438689.0,38.32,38.8,38.4,37.41
2019-08-06,781160.0,37.62,38.89,38.5,37.3872
2019-08-07,285594.0,38.18,38.7,37.5,36.64
2019-08-08,439794.0,37.0,39.2999,38.07,36.53
2019-08-09,942919.0,37.43,37.5925,37.08,34.22
2019-08-12,404724.0,39.33,39.85,37.24,37.24
2019-08-13,551355.0,41.45,43.05,40.3,40.2
2019-08-14,548387.0,41.29,42.85,40.79,40.12
2019-08-15,606506.0,40.09,42.8,41.7,39.36
2019-08-16,303379.0,39.65,40.7366,40.11,39.16
2019-08-19,431466.0,37.68,40.8,39.68,37.5
2019-08-20,950910.0,36.72,38.15,37.59,35.82
2019-08-21,657208.0,37.41,38.45,37.02,36.5
2019-08-22,706500.0,37.23,38.17,37.46,36.8
2019-08-23,377657.0,37.76,38.99,37.03,37.03
2019-08-26,318201.0,37.61,38.32,38.11,36.93
2019-08-27,323590.0,38.35,38.8,37.62,37.62
2019-08-28,861739.0,35.45,38.45,38.41,35.4
2019-08-29,580184.0,35.89,36.6,35.78,34.83
2019-08-30,208607.0,35.62,36.46,35.99,35.29
2019-09-03,694783.0,34.2,36.6,35.75,34.17
2019-09-04,753280.0,36.9,36.98,34.67,34.6109
2019-09-05,903893.0,36.48,37.6426,37.22,35.42
2019-09-06,2070230.0,34.17,36.3,33.59,33.0
2019-09-09,4051020.0,28.48,33.85,33.84,26.18
2019-09-10,1368357.0,28.99,29.4,27.99,27.31
2019-09-11,1398371.0,28.4,29.2,28.67,27.75
2019-09-12,988337.0,26.26,28.71,28.55,26.26
2019-09-13,3053535.0,30.08,32.23,28.0,27.75
2019-09-16,830553.0,30.42,31.22,30.0,29.6434
2019-09-17,1072180.0,31.3,32.08,30.3,30.16
2019-09-18,852499.0,31.25,31.37,30.93,29.895
2019-09-19,733666.0,30.04,31.25,31.25,30.0
2019-09-20,2346138.0,30.12,31.1262,30.02,29.87
2019-09-23,476275.0,30.31,30.69,30.0,29.5
2019-09-24,1621335.0,30.19,30.72,30.43,29.5
2019-09-25,628048.0,30.66,30.97,30.2,29.7
2019-09-26,2012163.0,29.5,30.94,30.15,28.58
2019-09-27,1394268.0,27.51,30.1,29.64,26.5229
2019-09-30,1356596.0,27.43,27.555,27.44,26.1
2019-10-01,1220196.0,26.41,27.505,27.04,26.155
2019-10-02,1175957.0,27.71,28.35,26.18,25.68
2019-10-03,758117.0,28.62,28.81,27.71,26.94
2019-10-04,973594.0,29.8,29.8,28.62,27.56
2019-10-07,835248.0,29.41,29.92,29.56,29.02
2019-10-08,1115019.0,27.71,29.35,29.12,27.65
2019-10-09,519411.0,27.53,28.14,27.74,27.25
2019-10-10,687570.0,28.07,28.4,27.58,27.0
2019-10-11,569345.0,29.48,29.49,28.14,27.81
2019-10-14,515427.0,29.07,29.96,29.25,28.52
2019-10-15,650581.0,29.13,29.78,29.35,28.68
2019-10-16,1756259.0,27.36,28.93,28.93,27.18
2019-10-17,821338.0,28.29,28.4,27.56,27.17
2019-10-18,784677.0,28.52,28.68,28.25,27.6813
2019-10-21,2172520.0,26.3,28.68,28.38,26.24
2019-10-22,1969503.0,24.24,26.6,26.3,24.24
2019-10-23,1362520.0,25.35,25.53,24.24,23.76
2019-10-24,898663.0,27.29,27.54,25.62,25.55
2019-10-25,448787.0,27.15,27.575,27.04,26.1
2019-10-28,699585.0,28.2,28.415,27.12,26.81
2019-10-29,691998.0,28.49,28.75,28.14,28.02
2019-10-30,846716.0,29.38,29.42,28.48,27.75
2019-10-31,786415.0,29.08,29.56,29.31,28.89
2019-11-01,475581.0,29.77,29.83,29.17,28.76
2019-11-04,386711.0,30.16,30.92,29.84,29.67
2019-11-05,381765.0,29.39,30.32,30.21,29.28
2019-11-06,435196.0,28.76,29.28,29.02,28.29
2019-11-07,271667.0,27.74,29.1124,28.87,27.5
2019-11-08,333626.0,28.07,28.38,27.74,27.34
2019-11-11,240898.0,28.09,28.33,28.04,27.75
2019-11-12,656237.0,29.48,29.56,28.35,28.16
2019-11-13,505925.0,30.99,31.14,29.39,28.82
2019-11-14,674983.0,29.97,31.4264,31.0,29.86
2019-11-15,649558.0,30.13,30.76,30.0,29.56
2019-11-18,821834.0,30.8,31.62,30.11,29.6
2019-11-19,509283.0,30.68,31.41,31.02,29.54
2019-11-20,641602.0,31.71,31.94,30.65,30.57
2019-11-21,548399.0,32.34,33.14,31.65,31.5
2019-11-22,414888.0,31.15,32.7,32.56,30.76
2019-11-25,486956.0,32.0,32.35,31.33,31.29
2019-11-26,841320.0,30.53,32.0,32.0,30.38
2019-11-27,418511.0,30.56,30.95,30.65,30.19
2019-11-29,197884.0,30.36,30.92,30.38,30.0
2019-12-02,493612.0,30.81,30.91,30.49,29.79
2019-12-03,580876.0,31.57,31.86,30.25,29.81
2019-12-04,759909.0,29.17,31.88,31.57,29.09
2019-12-05,1206732.0,29.86,29.89,29.04,28.07
2019-12-06,2130047.0,28.01,32.76,32.44,27.94
2019-12-09,734096.0,28.8,29.34,28.27,28.05
2019-12-10,1995036.0,28.23,28.35,27.86,27.11
2019-12-11,697223.0,28.5,28.5,28.0,27.82
2019-12-12,2163974.0,31.97,31.985,28.5,28.08
2019-12-13,862975.0,31.63,31.94,31.09,30.54
2019-12-16,1288228.0,31.23,31.95,31.01,30.01
2019-12-17,510193.0,32.01,32.16,30.96,30.57
2019-12-18,989766.0,31.44,31.85,31.4,30.93
2019-12-19,625817.0,31.41,31.5,31.02,30.82
2019-12-20,1319306.0,32.28,32.3,31.5,31.24
2019-12-23,955303.0,31.53,32.13,31.73,30.64
2019-12-24,358840.0,31.21,31.78,31.25,30.73
2019-12-26,1929066.0,31.74,32.25,31.35,31.01
2019-12-27,929654.0,31.66,32.08,31.68,30.8
2019-12-30,2017112.0,31.87,32.43,31.66,31.06
2019-12-31,1306464.0,31.11,32.25,31.26,30.95
2020-01-02,648283.0,31.01,31.5,31.45,30.78
2020-01-03,724712.0,29.96,30.77,30.6,29.82
2020-01-06,970611.0,30.71,30.86,29.78,29.2
2020-01-07,624838.0,30.95,31.14,30.79,30.33
2020-01-08,888024.0,31.48,32.05,30.7,30.7
2020-01-09,1462965.0,33.69,34.17,31.83,31.5
2020-01-10,1195224.0,33.46,34.88,33.9,33.15
2020-01-13,909100.0,31.65,33.55,33.19,31.56
2020-01-14,1739062.0,32.5,33.27,31.19,30.94
2020-01-15,7732036.0,31.17,34.42,32.5,30.97
2020-01-16,4193732.0,31.93,32.04,31.09,30.6
2020-01-17,3154461.0,31.77,32.23,31.88,31.2
2020-01-21,2430478.0,31.1,31.95,31.41,31.0
2020-01-22,2843119.0,31.42,31.75,31.01,30.335
2020-01-23,1669831.0,31.13,31.33,30.95,30.62
2020-01-24,1519260.0,30.63,31.46,31.41,30.3
2020-01-27,1498599.0,29.84,30.26,30.26,29.35
2020-01-28,1710803.0,29.62,30.1,30.0,29.32
2020-01-29,1470547.0,29.19,29.88,29.88,28.68
2020-01-30,1484125.0,28.85,29.31,29.12,28.19
2020-01-31,1581350.0,28.22,28.8,28.7,27.17
2020-02-03,1235128.0,28.84,29.12,28.09,27.35
2020-02-04,1453771.0,28.01,29.2,29.14,27.97
2020-02-05,1688748.0,27.79,28.41,28.21,27.39
2020-02-06,1028966.0,28.08,28.74,27.97,27.48
2020-02-07,925728.0,28.92,29.055,28.14,28.0
2020-02-10,785930.0,28.89,29.25,28.9,28.7
2020-02-11,1531817.0,29.75,29.9,29.0,28.84
2020-02-12,1065423.0,29.75,30.0,29.89,29.14
2020-02-13,1465553.0,29.49,30.36,29.62,29.21
2020-02-14,1115034.0,30.5,30.67,29.49,29.25
2020-02-18,917647.0,30.8,30.98,30.43,30.08
2020-02-19,1332828.0,30.54,31.22,30.93,30.23
2020-02-20,999962.0,30.68,30.71,30.5,30.02
2020-02-21,738387.0,30.43,30.63,30.54,29.59
2020-02-24,1169481.0,29.38,29.5997,29.45,28.12
2020-02-25,1159777.0,27.39,29.88,29.68,27.11
2020-02-26,2739843.0,26.15,28.31,27.35,25.85
2020-02-27,1993406.0,25.34,26.575,25.6,24.7
2020-02-28,2160158.0,24.81,25.59,24.73,23.75
2020-03-02,1406897.0,25.2,25.32,24.71,23.83
2020-03-03,2007565.0,24.41,26.85,25.39,24.01
2020-03-04,828395.0,25.19,25.38,24.83,24.76
2020-03-05,1494729.0,23.64,24.91,24.7,23.3
2020-03-06,1956226.0,22.48,23.72,22.34,21.89
2020-03-09,2552433.0,18.29,21.08,20.12,18.15
2020-03-10,3731187.0,21.29,21.47,18.58,18.58
2020-03-11,2414672.0,19.85,20.91,20.54,19.46
2020-03-12,3308824.0,19.05,19.63,17.9,16.67
2020-03-13,4375998.0,20.41,21.51,21.46,19.31
2020-03-16,3220762.0,19.84,22.0,18.32,18.15
2020-03-17,4746755.0,19.6,22.66,19.05,18.21
2020-03-18,2412940.0,19.48,20.88,18.52,17.56
2020-03-19,1519775.0,19.93,20.8,19.5,19.28
2020-03-20,5915635.0,21.05,21.8,20.02,19.73
2020-03-23,2398248.0,21.25,22.27,20.98,19.51
2020-03-24,1860114.0,22.06,22.64,21.4,20.51
2020-03-25,3754179.0,23.37,24.0,22.05,21.63
2020-03-26,2389877.0,22.84,24.49,22.49,22.4
2020-03-27,1309070.0,21.73,22.3,22.18,21.16
2020-03-30,1180337.0,20.62,21.94,21.13,20.51
2020-03-31,1728961.0,20.04,21.25,20.68,19.85
2020-04-01,1920546.0,17.91,19.48,19.38,17.82
2020-04-02,1371217.0,17.25,18.11,18.01,16.95
2020-04-03,1711551.0,16.83,17.23,17.19,16.04
2020-04-06,1843361.0,17.99,18.97,17.5,17.19
2020-04-07,1319229.0,18.47,19.32,18.95,18.3065
2020-04-08,1299888.0,19.35,19.99,18.84,18.51
2020-04-09,2569427.0,20.0,20.98,19.49,19.49
2020-04-13,854037.0,19.44,20.08,19.91,19.34
2020-04-14,877317.0,20.52,20.668,20.0,19.7513
2020-04-15,1984922.0,19.1,20.32,19.49,18.37
2020-04-16,833430.0,20.08,20.646,19.48,19.43
2020-04-17,1946268.0,21.44,21.47,20.61,20.32
2020-04-20,1303559.0,21.04,21.46,20.85,20.61
2020-04-21,1090718.0,20.57,21.1899,20.7,20.28
2020-04-22,1186915.0,22.1,22.26,21.08,21.01
2020-04-23,786433.0,21.74,22.45,22.06,21.5
2020-04-24,334507.0,21.64,22.29,21.95,21.24
2020-04-27,717622.0,21.99,22.42,21.91,21.7
2020-04-28,1004196.0,20.98,22.66,22.37,20.51
2020-04-29,1024548.0,22.1,22.55,21.44,21.08
2020-04-30,716984.0,21.48,22.23,21.75,21.17
2020-05-01,907786.0,20.37,21.63,21.0,20.29
2020-05-04,788704.0,20.62,21.09,20.19,19.7
2020-05-05,551788.0,21.16,21.75,21.05,20.94
2020-05-06,1161118.0,21.47,21.85,21.27,20.55
2020-05-07,900940.0,22.67,23.05,21.9,21.71
2020-05-08,1229383.0,23.73,23.83,22.99,22.62
2020-05-11,1017195.0,23.85,24.32,23.53,23.39
2020-05-12,707508.0,23.26,24.07,23.81,23.01
2020-05-13,984955.0,23.61,24.19,23.2,22.78
2020-05-14,826810.0,23.37,23.48,23.19,22.57
2020-05-15,1007926.0,24.67,24.75,23.29,23.28
2020-05-18,1912459.0,25.84,25.95,25.0,24.6
2020-05-19,1531645.0,27.0,27.15,25.93,25.503
2020-05-20,811276.0,26.73,27.915,27.5,26.22
2020-05-21,822712.0,26.74,27.075,26.9,26.01
2020-05-22,670435.0,26.97,27.25,26.81,26.61
2020-05-26,1093569.0,27.88,28.0,27.25,27.08
2020-05-27,1014933.0,27.97,28.0,27.99,26.74
2020-05-28,1528801.0,27.33,28.13,27.89,27.19
2020-05-29,2320362.0,28.28,28.48,27.56,26.86
2020-06-01,2450061.0,29.9,30.0,28.09,28.09
2020-06-02,1736943.0,29.6,30.38,29.99,29.36
2020-06-03,5695930.0,26.01,29.6,29.49,26.0
2020-06-04,4915940.0,24.46,26.32,26.3,24.27
2020-06-05,2680144.0,24.55,25.5,24.23,23.11
2020-06-08,2382933.0,27.53,27.64,24.9,24.72
2020-06-09,1731491.0,27.38,27.99,26.76,26.71
2020-06-10,1331170.0,26.81,27.5,27.5,26.41
2020-06-11,1473275.0,25.55,26.48,25.99,25.54
2020-06-12,1099025.0,26.01,26.97,26.32,25.44
2020-06-15,1511880.0,27.0,27.1,25.57,25.4
2020-06-16,1501428.0,26.88,27.97,27.06,26.59
2020-06-17,2287108.0,27.24,28.139,27.1,27.0
2020-06-18,2002997.0,26.39,27.35,27.29,26.1
2020-06-19,2597703.0,27.13,27.52,26.86,26.5301
2020-06-22,1995215.0,27.81,28.005,27.31,27.13
2020-06-23,2352195.0,27.94,28.87,28.0,27.4
2020-06-24,984831.0,26.55,28.22,27.53,26.26
2020-06-25,969466.0,27.5,27.5,26.48,25.9708
2020-06-26,2401587.0,26.25,27.57,27.5,26.17
2020-06-29,2054100.0,25.01,26.6,26.22,24.84
2020-06-30,3356000.0,25.24,25.62,25.0,24.2
2020-07-01,1713500.0,27.41,27.73,25.44,25.36
2020-07-02,1508400.0,27.93,28.42,27.62,27.38
2020-07-06,776500.0,27.84,28.86,28.35,27.6
2020-07-07,1003500.0,28.52,28.76,27.78,27.2
2020-07-08,1196700.0,29.41,29.5,28.52,28.52
2020-07-09,3433500.0,31.82,31.89,29.5,29.49
2020-07-10,1291200.0,30.05,32.0,31.69,29.94
2020-07-13,1631300.0,28.09,30.73,30.17,28.03
2020-07-14,1589900.0,27.09,28.26,28.0,26.4
2020-07-15,1766600.0,27.46,27.8,27.58,26.88
